2025-09-08 16:46:28 JST - INFO - 損失: Conv=37.653, Seq=56.583, Dist=0.007, 総計=94.244
2025-09-08 16:46:29 JST - INFO - 損失: Conv=35.106, Seq=48.382, Dist=0.012, 総計=83.500
2025-09-08 16:46:29 JST - INFO - 損失: Conv=41.081, Seq=46.584, Dist=0.035, 総計=87.701
2025-09-08 16:46:29 JST - INFO - 損失: Conv=55.549, Seq=57.008, Dist=0.044, 総計=112.601
2025-09-08 16:46:30 JST - INFO - 損失: Conv=38.111, Seq=50.251, Dist=0.020, 総計=88.381
2025-09-08 16:46:30 JST - INFO - 損失: Conv=39.786, Seq=57.696, Dist=0.013, 総計=97.495
2025-09-08 16:46:31 JST - INFO - 損失: Conv=42.098, Seq=55.350, Dist=0.026, 総計=97.473
2025-09-08 16:46:31 JST - INFO - 損失: Conv=40.420, Seq=56.950, Dist=0.015, 総計=97.385
2025-09-08 16:46:31 JST - INFO - 損失: Conv=47.058, Seq=59.535, Dist=0.031, 総計=106.623
2025-09-08 16:46:32 JST - INFO - 損失: Conv=41.655, Seq=51.196, Dist=0.029, 総計=92.881
2025-09-08 16:46:32 JST - INFO - 損失: Conv=39.210, Seq=53.591, Dist=0.022, 総計=92.822
2025-09-08 16:46:33 JST - INFO - 損失: Conv=38.027, Seq=52.563, Dist=0.018, 総計=90.608
2025-09-08 16:46:33 JST - INFO - 損失: Conv=36.696, Seq=44.524, Dist=0.029, 総計=81.249
2025-09-08 16:46:33 JST - INFO - 損失: Conv=35.150, Seq=53.779, Dist=0.015, 総計=88.944
2025-09-08 16:46:34 JST - INFO - 損失: Conv=34.404, Seq=49.538, Dist=0.009, 総計=83.951
2025-09-08 16:46:34 JST - INFO - 損失: Conv=36.241, Seq=53.611, Dist=0.013, 総計=89.865
2025-09-08 16:46:35 JST - INFO - 損失: Conv=36.774, Seq=52.903, Dist=0.020, 総計=89.697
2025-09-08 16:46:35 JST - INFO - 損失: Conv=41.688, Seq=61.828, Dist=0.011, 総計=103.527
2025-09-08 16:46:35 JST - INFO - 損失: Conv=34.187, Seq=46.214, Dist=0.023, 総計=80.424
2025-09-08 16:46:36 JST - INFO - 損失: Conv=31.301, Seq=45.168, Dist=0.020, 総計=76.489
2025-09-08 16:46:36 JST - INFO - 損失: Conv=38.285, Seq=53.011, Dist=0.022, 総計=91.318
2025-09-08 16:46:36 JST - INFO - 損失: Conv=30.555, Seq=45.012, Dist=0.014, 総計=75.582
2025-09-08 16:46:37 JST - INFO - 損失: Conv=35.102, Seq=50.991, Dist=0.014, 総計=86.106
2025-09-08 16:46:37 JST - INFO - 損失: Conv=39.199, Seq=51.000, Dist=0.036, 総計=90.235
2025-09-08 16:46:38 JST - INFO - 損失: Conv=27.516, Seq=36.264, Dist=0.028, 総計=63.808
2025-09-08 16:46:38 JST - INFO - 損失: Conv=35.413, Seq=51.922, Dist=0.015, 総計=87.350
2025-09-08 16:46:38 JST - INFO - 損失: Conv=29.855, Seq=42.680, Dist=0.019, 総計=72.554
2025-09-08 16:46:39 JST - INFO - 損失: Conv=31.970, Seq=45.395, Dist=0.023, 総計=77.388
2025-09-08 16:46:39 JST - INFO - 損失: Conv=26.965, Seq=38.883, Dist=0.019, 総計=65.866
2025-09-08 16:46:40 JST - INFO - 損失: Conv=35.823, Seq=52.598, Dist=0.021, 総計=88.442
2025-09-08 16:46:40 JST - INFO - 損失: Conv=41.362, Seq=61.976, Dist=0.017, 総計=103.355
2025-09-08 16:46:41 JST - INFO - 損失: Conv=42.364, Seq=60.122, Dist=0.008, 総計=102.494
